geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase
cubic,0.0,xyz_only,completion_gain_mean,4.1826140233756914e-06,0.005262547790590386,0.0017681900831332232,-2.9738687168041045,0.0
cubic,0.0,xyz_only,same_sector_outer,0.99304561695049,0.7765889019435752,0.10514270378326346,2.058694585703735,1.0
cubic,0.0,xyz_only,same_shell_outer,0.9948610927448298,0.9676417676189738,0.02129821602933834,1.2780096270543655,1.0
cubic,0.0,xyz_only,deficit_fill_outer,-0.021366183720769587,-0.0039585324250950675,0.014050336454757556,-1.2389490707563233,0.125
cubic,0.0,xyz_only,completion_gain_outer,0.002863206433857339,0.0034347481878186674,0.0032107736443047533,-0.17800748887954695,0.625
cubic,0.0,xyz_only,outer_radius,9.420721840708387,9.706131547949079,0.22635221770221625,-1.2609097014234238,0.125
cubic,0.0,xyz_only,outer_gap,1.1440036658708426,3.2206839952725135,0.3322506134573805,-6.250343100304937,0.0
cubic,1.0,score_q,n_valid_bands,7.0,6.0,0.0,1000000000000.0,1.0
cubic,1.0,score_q,same_sector_mean,0.9533056365917683,0.8254805475257179,0.031042924151072984,4.117688412337099,1.0
cubic,1.0,score_q,same_shell_mean,0.9579868220289615,0.9733439767109753,0.009018894819886457,-1.7027756711885438,0.125
cubic,1.0,score_q,deficit_fill_mean,-0.03443016185874699,-0.0013085330712727379,0.004233474485377717,-7.823745931161633,0.0
cubic,1.0,score_q,completion_gain_mean,0.0008780486392968829,0.00455468418975615,0.0011460853128375578,-3.207994645833478,0.0
cubic,1.0,score_q,same_sector_outer,0.9998456820302272,0.6916976599352376,0.11077870441438986,2.7816539624756644,1.0
cubic,1.0,score_q,same_shell_outer,0.9998285688402525,0.9493726241916018,0.02994153187827016,1.6851490716005595,1.0
cubic,1.0,score_q,deficit_fill_outer,-0.05214991565551827,0.008225956004791344,0.022094917083649676,-2.7325683743912044,0.0
cubic,1.0,score_q,completion_gain_outer,0.00020039954432837966,0.0035647502168996066,0.004794346738223046,-0.701732864885872,0.25
cubic,1.0,score_q,outer_radius,11.947803145348521,9.870449764541736,0.36384381235301094,5.709464639144592,1.0
cubic,1.0,score_q,outer_gap,4.684883622181546,3.5263265414982365,0.4438386302162066,2.610311500187203,1.0
cubic,1.0,score_iso,n_valid_bands,7.0,6.0,0.7071067811865476,1.414213562371095,0.75
