geometry,beta,criterion,kind,level,gap,inner_r,outer_r,inner_count,outer_count,same_sector,same_shell,deficit_fill,completion_gain
cubic,0.0,q_only,fft_phase_2,0.35,3.3958174734664643,5.4530847626270225,8.848902236093487,37.0,59.0,0.8417951363239892,0.991162109975826,0.004129576997155826,0.004110097108712279
cubic,0.0,q_only,fft_phase_2,0.44999999999999996,3.1748688647231873,5.949205183112637,9.124074047835824,29.0,31.0,0.7337302458709343,0.9905021444904208,-0.010368072880186749,-0.0037271534343064367
cubic,0.0,q_only,fft_phase_3,0.05,3.572649700153711,6.149379353180787,9.722029053334499,125.0,112.0,0.8479676419831929,0.953160777689369,0.0159584987561598,5.1410903519743395e-05
cubic,0.0,q_only,fft_phase_3,0.15,4.004662081713678,5.127597831968225,9.132259913681903,73.0,144.0,0.8952554548295231,0.9792333274695365,0.009524203911300974,0.004206562144359983
cubic,0.0,q_only,fft_phase_3,0.25,3.7074674016688673,5.44353078083673,9.150998182505598,68.0,100.0,0.930822621442204,0.9893879657704651,-0.00961384535186096,0.010953748031849777
cubic,0.0,q_only,fft_phase_3,0.35,4.814846710872351,4.02146067332749,8.836307384199841,28.0,78.0,0.7608598867021202,0.9970662410226235,0.003272024817593533,0.00497625694488961
cubic,0.0,q_only,fft_phase_3,0.44999999999999996,4.282602047707976,4.720060550336227,9.002662598044203,22.0,39.0,0.8219020678992235,0.998242099886803,-0.008489763074596361,0.001767709400933533
cubic,0.0,q_only,fft_phase_3,0.5499999999999999,3.781957153502108,4.09820590416487,7.880163057666978,13.0,14.0,0.5535601229720106,0.9980633089110162,-0.0023628968473147632,0.00655150927251885
cubic,0.0,q_only,fft_phase_4,0.05,3.39946007822366,5.896323079116849,9.295783157340509,107.0,117.0,0.9047047217150763,0.9913593066844827,-0.012530550870649353,-0.00022529429986696894
cubic,0.0,q_only,fft_phase_4,0.15,3.54439192769361,5.7797832180783875,9.324175145771997,93.0,122.0,0.9407755680930596,0.99211064289284,-0.013236362235438275,0.005656592402803279
cubic,0.0,q_only,fft_phase_4,0.25,3.8454854902069666,5.497360628997933,9.3428461192049,65.0,83.0,0.9277251823715265,0.9919443421360512,0.00043620798775444863,0.008593676824035456
cubic,0.0,q_only,fft_phase_4,0.35,3.49383594813054,5.434794558638863,8.928630506769403,48.0,62.0,0.7694073039282114,0.9895934949381089,0.011420588970393136,0.00988435239794428
cubic,0.0,q_only,fft_phase_4,0.44999999999999996,2.9203305322327413,5.94942143258346,8.869751964816201,27.0,25.0,0.7144931641868997,0.980081131751222,-0.0018993212808321447,0.004103949075321222
cubic,0.0,q_only,fft_phase_4,0.5499999999999999,4.114761121397949,5.378907093320594,9.493668214718543,16.0,20.0,0.4472012931986546,0.9332801413306909,0.025204341945303493,0.007218599973556466
cubic,0.0,q_only,fft_phase_5,0.05,3.546032623881695,5.670293470385895,9.21632609426759,92.0,122.0,0.8978906188502439,0.9872282752332155,0.0012518314920208357,0.0034570729745965773
cubic,0.0,q_only,fft_phase_5,0.15,3.8121770113206512,5.261280404831933,9.073457416152584,81.0,128.0,0.9094668008202349,0.9764036457237424,0.004828272143376784,-0.00036337546472610394
cubic,0.0,q_only,fft_phase_5,0.25,3.225666761528797,5.932295168632703,9.1579619301615,61.0,87.0,0.8871537518765074,0.9950808010457295,-0.014221103084785032,0.00513291685217337
cubic,0.0,q_only,fft_phase_5,0.35,4.134143215087943,5.638390755725065,9.772533970813008,53.0,59.0,0.8640004538203608,0.9414530549325181,0.004365638662859293,0.0032815022477963897
cubic,0.0,q_only,fft_phase_5,0.44999999999999996,3.969884340301439,5.354961177108327,9.324845517409766,22.0,40.0,0.7998388408292568,0.9608318016705037,-0.01597460402900416,0.001550192486269691
cubic,0.0,q_only,fft_phase_5,0.5499999999999999,3.197415203689606,6.073110275901018,9.270525479590624,15.0,23.0,0.689721933179174,0.9761122772330859,-0.014044138988642055,0.007602532575276688
cubic,0.0,q_only,fft_phase_6,0.05,3.873784776740978,5.64312122515463,9.516906001895608,100.0,113.0,0.9287247347151366,0.9891704111891577,-0.01375959707985245,0.002019947841305079
cubic,0.0,q_only,fft_phase_6,0.15,3.67877621780719,5.7108337455862745,9.389609963393465,83.0,94.0,0.9305911318321264,0.9882603888305982,-0.0012764873310782548,0.0031859743662239134
cubic,0.0,q_only,fft_phase_6,0.25,3.495422103754807,5.8815465300457515,9.376968633800558,75.0,83.0,0.9226857783476492,0.9874707363017284,-0.0011031619723420594,0.0034068620669290735
cubic,0.0,q_only,fft_phase_6,0.35,3.689847681920919,5.3374602128333395,9.027307894754259,37.0,63.0,0.8171092852964685,0.9895291814491749,0.013535853756119959,0.008927716934365455
cubic,0.0,q_only,fft_phase_6,0.44999999999999996,3.818368337341991,4.936412583714342,8.754780921056334,28.0,44.0,0.7918067232303725,0.9874508293616339,0.01103441581044428,0.014588119503184822
cubic,0.0,q_only,fft_phase_6,0.5499999999999999,3.720684131254168,6.327018583255291,10.047702714509459,19.0,15.0,0.7789427781091451,0.9746327649200346,-0.010579784430254171,0.010515466162670503
cubic,0.0,q_only,fft_phase_7,0.05,3.1448982623442134,6.587564650126248,9.732462912470462,113.0,93.0,0.8847507019448252,0.9555173972953575,0.0075846904065451914,0.0043658730705634745
cubic,0.0,q_only,fft_phase_7,0.15,3.259998610826483,5.92001173370677,9.180010344533253,100.0,102.0,0.9020801838534139,0.9860717727541342,0.005935854682060364,0.004527524835783385
cubic,0.0,q_only,fft_phase_7,0.25,3.548015356150745,5.805780435408159,9.353795791558904,70.0,80.0,0.9349813881466078,0.9895954125791208,-0.007792202677585625,0.00690051073147567
cubic,0.0,q_only,fft_phase_7,0.35,3.4956503090771838,5.652697899591577,9.14834820866876,41.0,59.0,0.9220753492676316,0.9927971645914829,-0.009130059648656132,0.0015713868269855262
cubic,0.0,q_only,fft_phase_7,0.44999999999999996,3.330719727426829,5.5163228756403315,8.84704260306716,24.0,30.0,0.8413518380081751,0.9963421678693242,0.001980223147982116,0.006028372241625342
