beta,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
5.0,0.62,0.7866802801026531,-0.05086438418341961,-1953080611.6294374,-1976339041.4365866,-1964709826.5330124,0.8055555555555556,0.006222222222222223,5.840757880970966,7.871734752293603,2.030976871322636
5.0,0.63,0.8051576521767914,-0.04642388758181568,9469217072.72509,6443855690.448119,7956536381.586605,0.8263888888888888,0.004722222222222222,4.887022663415591,7.452625387655833,2.565602724240242
5.0,0.64,0.7401054473174705,-0.09605663821436795,2645812520.91858,4770544742.935281,3708178631.9269304,0.75,0.004194444444444444,5.038398850044157,7.605345961750435,2.5669471117062774
5.0,0.65,0.7461451269451711,-0.0957676717464186,26.945794330971985,2.0202855992884348,14.483039965130208,0.7569444444444444,0.004722222222222222,5.511497534323421,7.763479717609297,2.251982183285875
5.0,0.66,0.842077926070518,0.0005322092560927792,42390045998.02732,29162599522.3075,35776322760.16741,0.8333333333333334,0.005277777777777778,5.488121714563357,7.6862309739543315,2.1981092593909746
5.0,0.67,0.7632402570213064,-0.0929818890714181,11370808498.397345,1965174223.1546366,6667991360.7759905,0.803030303030303,0.008212121212121212,5.698122866369456,7.6884622153326285,1.9903393489631727
5.0,0.68,0.7268742700465656,-0.11026867447422736,10028447758.147371,2676776923.5312953,6352612340.839333,0.7741935483870968,0.0073125,5.926219080840467,7.845264572910289,1.9190454920698221
5.0,0.69,0.8094510396288402,-0.07244977083068596,11806345455.764864,7557353268.110922,9681849361.937893,0.7857142857142857,0.008,5.69397560448205,7.473921876094476,1.7799462716124266
5.0,0.7,0.7671563395131376,-0.09359777426600753,10078724170.887848,4823882705.624039,7451303438.255944,0.8308823529411765,0.005857142857142858,5.931832974882003,7.500701691334174,1.568868716452171
5.0,0.71,0.7836528389315124,-0.07341050994371921,5988441889.699833,-3867887192.4461412,1060277348.6268448,0.8014705882352942,0.006828571428571429,5.9415060139518365,7.801230425275729,1.8597244113238929
5.0,0.72,0.7961257548254472,-0.06988653861585149,10593241895.634813,8029408462.137605,9311325178.886208,0.8203125,0.0075,6.02394964882891,7.602132939258248,1.5781832904293387
5.0,0.73,0.7697643474122325,-0.04718851935646562,55250252356.08186,38578047804.70837,46914150080.39512,0.8043478260869565,0.008782608695652174,5.453926151110858,7.496988514192565,2.043062363081707
5.0,0.74,0.7334364476264021,-0.0870339056675307,31757126088.321106,16861319542.71832,24309222815.519714,0.7916666666666666,0.00756,5.057332305621903,7.108134138565483,2.05080183294358
5.0,0.75,0.7981486459539437,-0.04353354828160253,52358558471.16616,40850881947.867455,46604720209.51681,0.8046875,0.008666666666666666,4.821956597362999,7.014510761156197,2.192554163793198
5.0,0.76,0.8489413318960212,-0.010891561376455017,50750543768.38803,22613558025.80599,36682050897.097015,0.8671875,0.007176470588235294,4.926575587304014,7.233982240219923,2.3074066529159087
5.0,0.77,0.85749166576555,0.004518988719482013,119201511538.26077,84742300930.7158,101971906234.48828,0.9,0.00625,5.216774803800084,7.137137486946311,1.9203626831462257
5.0,0.78,0.8711566985277516,0.02595050855810243,77425804680.69884,51940554980.773964,64683179830.736404,0.8636363636363636,0.006361111111111112,5.519026378879132,7.620917205799952,2.1018908269208194
5.0,0.79,0.8852544058574408,0.0193266688789567,111429807547.5674,68303691637.000145,89866749592.28378,0.9485294117647058,0.0070857142857142855,5.252881163153265,7.506437032069561,2.253555868916297
5.0,0.8,0.8489366115223199,-0.02748229728914739,129671757738.86467,86046588543.84393,107859173141.3543,0.925,0.006088235294117647,5.401504632699339,7.548655763118768,2.14715113041943
