geometry,beta,criterion,winner_mode_index,winner_q,winner_exact_family,winner_support_family,real_exact,sur_exact_mean,sur_exact_std,z_exact,exact_exceed,sur_exact_p95,triads_exact,eligible_exact,real_support,sur_support_mean,sur_support_std,z_support,support_exceed,sur_support_p95,triads_support,eligible_support
tet_1.10,2.0,q_only,3,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.995598348262376,0.9955983482623761,1.1443916996305594e-16,-0.00011100959861619209,0.020833333333333332,0.995598348262376,1,1,0.8306803133132935,0.3555451913910324,0.2670948661145907,1.778900241821334,0.9375,0.8163262471456864,8,8
tet_1.10,2.0,xyz_only,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9141520549086667,0.9103975555972085,0.051686193084512666,0.07264027561957506,0.4166666666666667,0.9898637842609853,3,3,0.6738229771142311,0.4432338807925662,0.2955788121158886,0.7801272854106909,0.6875,0.8826085587520043,8,8
tet_1.10,5.0,score_q,5,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.2745665027332187,0.5271999507369605,0.2590223361376294,-0.9753346053852735,0.20833333333333334,0.9799643492581347,3,3,0.3107966176985109,0.2593531702018379,0.20108291941394119,0.2558320102291621,0.6041666666666666,0.6530244278840985,8,8
tet_1.10,5.0,score_iso,7,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.38814468740597174,0.5453932699546307,0.2125309165548096,-0.7398856839135034,0.3333333333333333,0.9128477901245724,3,3,0.4072946840595648,0.25993103583014526,0.1963624131335887,0.7504676983594364,0.8333333333333334,0.6988794631539386,8,8
tet_1.10,5.0,q_only,9,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.42670612707698197,0.5986426699014333,0.285018370466041,-0.6032472311967477,0.3125,0.9665439093188847,3,3,0.27539605369903425,0.35700069990606,0.27073456708994964,-0.30141938313924926,0.5208333333333334,0.7779899816658733,8,8
tet_1.10,5.0,xyz_only,5,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.2745665027332187,0.5381093612870581,0.24542716996557254,-1.0738128895416683,0.20833333333333334,0.9399326869802622,3,3,0.3107966176985109,0.2867769981195504,0.22715595853199005,0.10574065384013313,0.5833333333333334,0.7373249821451239,8,8
tet_1.10,10.0,score_q,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.999996788939172,0.999996788939172,0.0,0.0,0.0,0.999996788939172,1,1,0.3160947052034686,0.3272554061194194,0.23981356331585474,-0.0465390729431123,0.5625,0.7586795300070432,8,8
tet_1.10,10.0,score_iso,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.999996788939172,0.999996788939172,0.0,0.0,0.0,0.999996788939172,1,1,0.3160947052034686,0.29391134373404076,0.20430689572454377,0.10857862330416845,0.5833333333333334,0.6410412100947136,8,8
tet_1.10,10.0,q_only,3,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.0641775783967229,0.597349091373394,0.34625854803713096,-1.5398075108833322,0.125,0.9833903408612086,3,3,0.07391924735523746,0.3619171105067877,0.31468170141160523,-0.9152037181022242,0.25,0.9086116912093523,8,8
tet_1.10,10.0,xyz_only,9,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.999996788939172,0.999996788939172,0.0,0.0,0.0,0.999996788939172,1,1,0.3160947052034686,0.312411253493407,0.1996786468703108,0.01844689839287393,0.625,0.6148048812678164,8,8
ortho_1.05_1.20,0.0,score_q,8,Z1,"1-axis:(1,)",1-axis,0.9989051587117912,0.5113286987085864,0.22869322754314417,2.132010926773461,1.0,0.819566688095597,3,3,0.7392349511505165,0.2718905884603478,0.21228550568280868,2.201489739889546,0.9791666666666666,0.7028042252146618,6,6
ortho_1.05_1.20,0.0,score_iso,8,Z1,"1-axis:(1,)",1-axis,0.9989051587117912,0.5585983653728891,0.2158245408170256,2.0401145841433794,1.0,0.9022478002760417,3,3,0.7392349511505165,0.3161264219067223,0.2389883960928224,1.7704145312464863,0.9375,0.7548767417725659,6,6
ortho_1.05_1.20,0.0,q_only,8,Z1,"1-axis:(1,)",1-axis,0.9989051587117912,0.5318942449179049,0.21480556397290823,2.174109949268412,1.0,0.89319468688348,3,3,0.7392349511505165,0.34923382675536235,0.21434667169721686,1.8194876612977917,0.9166666666666666,0.7482103870456633,6,6
ortho_1.05_1.20,0.0,xyz_only,8,Z1,"1-axis:(1,)",1-axis,0.9989051587117912,0.5137921547122394,0.27084676620516723,1.791097640908462,1.0,0.9274022653222932,3,3,0.7392349511505165,0.37104602550803917,0.2644768135185425,1.392140659677418,0.875,0.8913090483092282,6,6
ortho_1.05_1.20,1.0,score_q,9,Z1,"1-axis:(1,)",1-axis,0.9997115494962624,0.5881677629875987,0.258483804271317,1.5921453480121932,1.0,0.9254380308593738,3,3,0.7198061545160266,0.3917424663033125,0.25892763099809446,1.2670091907412595,0.8541666666666666,0.84290953122161,6,6
