geometry,beta,null_type,draw,real_consensus_family,real_consensus_q,surrogate_consensus_family,surrogate_consensus_q,family_match_real,q_match_real,surrogate_consensus_strength,surrogate_q_consensus_strength,real_mean_winner_q_contrast,real_mean_winner_xyz,surrogate_mean_winner_q_contrast,surrogate_mean_winner_xyz
cubic,1.0,cell_shuffle,10,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 2, 2)",X1+Y2+Z2,1.0,1.0,1.0,1.0,0.15573592931177704,5.243303667372475e-05,0.12483665806703384,6.852064004984834e-05
cubic,1.0,cell_shuffle,11,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y1+Z2,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.14474258591372974,5.900155263245568e-05
cubic,1.0,cell_shuffle,12,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 2)",X1+Y2,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.15480000538516875,6.852064004984834e-05
cubic,1.0,cell_shuffle,13,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 2)",Y1+Z2,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.11419486994960079,5.9168596476454464e-05
cubic,1.0,cell_shuffle,14,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 2)",X1+Y1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.12352437483235705,5.622895993249617e-05
cubic,1.0,cell_shuffle,15,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",X1+Y2+Z2,0.0,1.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.10743038034588324,5.943802271836339e-05
cubic,1.0,cell_shuffle,16,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y1+Z2,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.10197370434695675,5.9168596476454464e-05
cubic,1.0,cell_shuffle,17,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 1)",X1+Y1+Z1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.14563818941632511,6.852064004984834e-05
cubic,1.0,cell_shuffle,18,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",Y1,0.0,0.0,0.75,0.75,0.15573592931177704,5.243303667372475e-05,0.18052082478603584,6.852064004984834e-05
cubic,1.0,cell_shuffle,19,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",X1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.10325221341781532,5.943802271836339e-05
cubic,1.0,cell_shuffle,20,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y2+Z1,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.11366538507679731,5.622895993249617e-05
cubic,1.0,cell_shuffle,21,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 1)",X1+Y1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.12125170766484822,5.9168596476454464e-05
cubic,1.0,cell_shuffle,22,"3-axis:(1, 2, 2)",X1+Y2+Z2,"2-axis:(1, 1)",Y1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.0947560484435859,5.622895993249617e-05
cubic,1.0,cell_shuffle,23,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 2, 2)",X1+Y2+Z2,1.0,1.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.13699592830076954,5.943802271836339e-05
cubic,1.0,shell_shuffle,0,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 1)",X1+Y1+Z1,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.10561304207452774,5.900155263245568e-05
cubic,1.0,shell_shuffle,1,"3-axis:(1, 2, 2)",X1+Y2+Z2,"1-axis:(1,)",X1,0.0,0.0,0.75,0.5,0.15573592931177704,5.243303667372475e-05,0.12685756472506787,5.338552159745605e-05
cubic,1.0,shell_shuffle,2,"3-axis:(1, 2, 2)",X1+Y2+Z2,"3-axis:(1, 1, 2)",X1+Y1+Z2,0.0,0.0,0.5,0.5,0.15573592931177704,5.243303667372475e-05,0.09771065568826864,5.9168596476454464e-05
