geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
tet_1.10,0.0,xyz_only,"1-axis:(1,)",1,3.5658616896621327,0.1399097547808798,0.9791666666666666,0.026254431746873724,1,True,1.2815178596128582
tet_1.10,1.0,score_q,"1-axis:(1,)",1,2.4756160402716323,0.2775059995878023,0.0,-1.271116167906733,2,False,2.6668492443664835
tet_1.10,1.0,score_iso,"1-axis:(1,)",1,2.4756160402716323,0.2775059995878023,0.0,-1.271116167906733,2,False,2.6668492443664835
tet_1.10,1.0,q_only,"1-axis:(1,)",1,2.4756160402716323,0.0662402434430134,0.0,0.8891766086335711,1,True,2.0401321845480713
tet_1.10,1.0,xyz_only,"1-axis:(1,)",1,2.491942671887975,0.2775059995878023,0.0,-1.271116167906733,2,False,2.6695581695509127
tet_1.10,1.5,score_q,"2-axis:(1, 2)",2,2.048836180850415,0.0570780251058251,0.9791666666666666,0.9837564336049155,1,False,1.7882841905327356
tet_1.10,1.5,score_iso,"1-axis:(1,)",1,2.020214447117877,0.263523264845016,0.9166666666666666,-0.3606294029346325,2,False,1.5539154826741826
tet_1.10,1.5,q_only,"3-axis:(1, 2, 2)",3,1.296884534611292,0.0029044846981582,1.0,0.9837564336049155,3,True,1.7193583375883477
tet_1.10,1.5,xyz_only,"2-axis:(1, 2)",2,2.048836180850415,0.263523264845016,0.7916666666666666,-0.3606294029346325,2,True,1.5284877318639358
tet_1.10,2.0,score_q,"3-axis:(1, 1, 2)",3,1.4056585454385464,0.0311128932176316,1.0,0.9410057164061972,3,True,1.6043892308181364
tet_1.10,2.0,score_iso,"3-axis:(1, 1, 2)",3,1.6470551197630054,0.2491660458751073,1.0,0.8067678119245256,2,False,1.832922153077079
tet_1.10,2.0,q_only,"3-axis:(1, 1, 2)",3,1.4056585454385464,0.0311128932176316,0.9375,0.009238640146669065,3,True,1.1064558494248682
tet_1.10,2.0,xyz_only,"3-axis:(1, 1, 2)",3,1.6842810133946715,0.2491660458751073,1.0,0.8067678119245256,2,False,1.8291193356416224
tet_1.10,5.0,score_q,"3-axis:(1, 1, 2)",3,0.5998296033201849,0.0547585121440381,0.2708333333333333,0.5830352831414448,3,True,1.1365907663589354
tet_1.10,5.0,score_iso,"3-axis:(1, 2, 2)",3,0.4273175083726647,0.0566808130339193,0.2708333333333333,-0.05585073128279757,3,True,1.000105397716024
tet_1.10,5.0,q_only,"3-axis:(1, 1, 2)",3,0.2241427027234935,0.0139924982216651,0.9583333333333334,-0.06386019253447216,3,True,1.2251442998686963
tet_1.10,5.0,xyz_only,"3-axis:(1, 2, 2)",3,0.4273175083726647,0.0547585121440381,0.2083333333333333,0.5830352831414448,3,True,1.3065977144533398
tet_1.10,10.0,score_q,"3-axis:(1, 1, 2)",3,0.1315070887677511,0.0503389535416494,0.7708333333333334,-0.9028981396055272,3,True,1.3113273486408914
tet_1.10,10.0,score_iso,"3-axis:(1, 1, 2)",3,0.1315070887677511,0.0511874216641788,0.4791666666666667,-0.13240935749426144,3,True,0.7516828419528973
tet_1.10,10.0,q_only,"3-axis:(1, 2, 2)",3,0.0959409963393278,0.0140413072925052,0.9583333333333334,0.11983506824464606,3,True,1.2728837604503542
tet_1.10,10.0,xyz_only,"3-axis:(1, 1, 2)",3,0.1315070887677511,0.0503389535416494,0.2291666666666666,-0.9028981396055272,3,True,1.6216151797788727
