case,label,y,I_norm
coherent_baseline,kohärent,-0.27342857142857147,0.05257477813014902
coherent_baseline,kohärent,-0.2726428571428572,0.052679757531656345
coherent_baseline,kohärent,-0.2718571428571429,0.052804004042377464
coherent_baseline,kohärent,-0.27107142857142863,0.05295214388692226
coherent_baseline,kohärent,-0.2702857142857143,0.0531289093246921
coherent_baseline,kohärent,-0.2695,0.05333912322439087
coherent_baseline,kohärent,-0.26871428571428574,0.05358768295234597
coherent_baseline,kohärent,-0.26792857142857146,0.05387954361839178
coherent_baseline,kohärent,-0.2671428571428572,0.0542197007260114
coherent_baseline,kohärent,-0.2663571428571429,0.054613172276266796
coherent_baseline,kohärent,-0.2655714285714286,0.0550649803777521
coherent_baseline,kohärent,-0.2647857142857143,0.055580132417372675
coherent_baseline,kohärent,-0.264,0.05616360184917944
coherent_baseline,kohärent,-0.26321428571428573,0.056820308660751724
coherent_baseline,kohärent,-0.26242857142857146,0.0575550995787214
coherent_baseline,kohärent,-0.2616428571428572,0.05837272807696069
coherent_baseline,kohärent,-0.2608571428571429,0.059277834252691584
coherent_baseline,kohärent,-0.2600714285714286,0.060274924637326824
coherent_baseline,kohärent,-0.25928571428571434,0.061368352010201
coherent_baseline,kohärent,-0.2585,0.0625622952844904
coherent_baseline,kohärent,-0.25771428571428573,0.0638607395355514
coherent_baseline,kohärent,-0.25692857142857145,0.06526745624261415
coherent_baseline,kohärent,-0.25614285714285717,0.06678598381525108
coherent_baseline,kohärent,-0.2553571428571429,0.06841960847629991
coherent_baseline,kohärent,-0.2545714285714286,0.07017134557293685
coherent_baseline,kohärent,-0.25378571428571434,0.07204392138738543
coherent_baseline,kohärent,-0.25300000000000006,0.07403975551829131
coherent_baseline,kohärent,-0.2522142857142857,0.07616094390310114
coherent_baseline,kohärent,-0.25142857142857145,0.07840924255084665
coherent_baseline,kohärent,-0.25064285714285717,0.08078605205356343
coherent_baseline,kohärent,-0.2498571428571429,0.08329240294314903
coherent_baseline,kohärent,-0.2490714285714286,0.08592894195881698
coherent_baseline,kohärent,-0.24828571428571433,0.08869591928840306
coherent_baseline,kohärent,-0.24750000000000005,0.09159317684465482
coherent_baseline,kohärent,-0.24671428571428572,0.0946201376352759
coherent_baseline,kohärent,-0.24592857142857144,0.09777579628291141
coherent_baseline,kohärent,-0.24514285714285716,0.10105871074845889
coherent_baseline,kohärent,-0.24435714285714288,0.10446699530806328
coherent_baseline,kohärent,-0.2435714285714286,0.10799831483093297
coherent_baseline,kohärent,-0.24278571428571433,0.11164988040168591
coherent_baseline,kohärent,-0.24200000000000005,0.11541844632731066
coherent_baseline,kohärent,-0.24121428571428577,0.1193003085650353
