geometry,beta,criterion,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
tet_1.05,0.0,score_iso,0.61,0.9801835719732296,-0.011883078568687866,12.272275269010962,23.121766214746255,17.69702074187861,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,score_iso,0.62,0.9801835719732296,-0.011883078568687866,12.281877381185517,5.251582745455709,8.766730063320612,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,score_iso,0.65,0.9822209909928601,-0.011888341954243375,26.406934898256054,5.501233793178258,15.954084345717156,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
tet_1.05,0.0,score_iso,0.75,0.9956119431428873,0.011989136463854244,341063240572.0123,119019952124.69063,230041596348.35147,1.0,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
tet_1.05,0.0,score_iso,0.78,0.9972139121464848,0.008711952137280599,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
tet_1.05,0.0,q_only,0.6,0.9899990104471552,0.004100836897042881,4.3394152094560585,2.6934635297673055,3.516439369611682,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
tet_1.05,0.0,q_only,0.61,0.9801835719732296,-0.011883078568687866,10.683534123067462,4.615355295047762,7.649444709057612,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,q_only,0.62,0.9801835719732296,-0.011883078568687866,2.2285871215286575,2.0477291813905443,2.138158151459601,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,q_only,0.65,0.9822209909928601,-0.011888341954243375,9.266655613384202,512.341077542842,260.80386657811306,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
tet_1.05,0.0,q_only,0.75,0.9956119431428873,0.011989136463854244,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
tet_1.05,0.0,q_only,0.78,0.9972139121464848,0.008711952137280599,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
tet_1.05,0.0,xyz_only,0.6,0.9899990104471552,0.004100836897042881,2.479599307692017,2.952010643368803,2.71580497553041,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
tet_1.05,0.0,xyz_only,0.61,0.9801835719732296,-0.011883078568687866,71.0520851995848,89.2628252430295,80.15745522130715,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,xyz_only,0.62,0.9801835719732296,-0.011883078568687866,9.937214284132258,8.172337308569572,9.054775796350915,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.05,0.0,xyz_only,0.65,0.9822209909928601,-0.011888341954243375,14.400079497885484,1.7174001082888022,8.058739803087143,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
tet_1.05,0.0,xyz_only,0.75,0.9956119431428873,0.011989136463854244,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
tet_1.05,0.0,xyz_only,0.78,0.9972139121464848,0.008711952137280599,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
tet_1.10,0.0,score_q,0.6,0.9899990104471548,0.0041008368970405495,5.334126464402602,-1.335421266421742,1.9993525989904302,0.5,0.01,8.986100377805714,9.836157786453,0.8500574086472863
tet_1.10,0.0,score_q,0.61,0.9801835719732296,-0.011883078568689087,322402198917.33234,176970822148.7273,249686510533.02982,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.10,0.0,score_q,0.62,0.9801835719732296,-0.011883078568689087,181872418745.11694,6117651080.177256,93995034912.6471,1.0,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.10,0.0,score_q,0.65,0.9822209909928602,-0.011888341954244042,297745698142.56836,153536337226.13303,225641017684.3507,1.0,0.013,9.630680142129112,11.169153951844338,1.5384738097152262
tet_1.10,0.0,score_q,0.75,0.9956119431428875,0.01198913646385269,,,,,0.005,10.136567466356647,10.897247358851684,0.7606798924950375
tet_1.10,0.0,score_q,0.78,0.997213912146485,0.008711952137279821,,,,,0.007,10.805091392487155,11.521718621802913,0.7166272293157583
tet_1.10,0.0,score_iso,0.6,0.9899990104471548,0.0041008368970405495,427413034034.8422,254628403560.1538,341020718797.49805,1.0,0.01,8.986100377805714,9.836157786453,0.8500574086472863
tet_1.10,0.0,score_iso,0.61,0.9801835719732296,-0.011883078568689087,345822917168.3506,142126494631.9828,243974705900.1667,1.0,0.003,8.986100377805714,10.523782589924593,1.5376822121188791
tet_1.10,0.0,score_iso,0.62,0.9801835719732296,-0.011883078568689087,282999541877.55786,-12302700671.437683,135348420603.06009,0.5,0.013,8.986100377805714,10.523782589924593,1.5376822121188791
